
# Input file analysis
# Count of resources: 118
# Count of blocks: 264
########### LEGEND ###########
# For workers
#	 <runtime>;<workername>;<action>;<time for action>
# For lorries
#	 <runtime>;<lorryname>;<action>;<time for action>
# For ferry
#<runtime>;<Ferry>;<action>;<time for filling>
0,09;Worker[3];block mined;0,02
0,12;Worker[5];block mined;0,05
0,09;Worker[2];block mined;0,03
0,09;Worker[4];block mined;0,02
0,13;Worker[2];resource mined;0,07
0,13;Worker[5];resource mined;0,07
0,13;Worker[3];resource mined;0,07
0,08;Worker[1];block mined;0,02
0,13;Worker[4];resource mined;0,07
0,15;Worker[1];block mined;0,02
0,16;Worker[1];block mined;0,01
0,16;Worker[1];resource mined;0,10
0,18;Worker[5];block mined;0,01
0,18;Worker[5];resource mined;0,01
0,18;Worker[3];block mined;0,01
0,18;Worker[3];resource mined;0,01
0,19;Worker[2];block mined;0,04
0,19;Worker[2];resource mined;0,04
0,21;Worker[5];block mined;0,00
0,22;Worker[4];block mined;0,04
0,22;Worker[4];resource mined;0,04
0,24;Worker[3];block mined;0,04
0,24;Worker[5];block mined;0,03
0,25;Lorry[1];is full;0,17
0,26;Lorry[1];arrived to ferry;0,01
0,26;Worker[3];block mined;0,03
0,26;Worker[1];block mined;0,01
0,28;Worker[1];block mined;0,02
0,28;Worker[2];block mined;0,04
0,28;Worker[4];block mined;0,02
0,28;Worker[1];block mined;0,00
0,28;Worker[1];resource mined;0,03
0,29;Worker[5];block mined;0,05
0,30;Worker[3];block mined;0,04
0,30;Worker[3];resource mined;0,10
0,32;Worker[4];block mined;0,04
0,32;Worker[2];block mined;0,04
0,32;Worker[2];resource mined;0,08
0,33;Worker[4];block mined;0,01
0,33;Worker[4];resource mined;0,06
0,33;Worker[5];block mined;0,04
0,36;Worker[5];block mined;0,03
0,36;Worker[5];block mined;0,00
0,36;Worker[5];resource mined;0,15
0,36;Worker[4];block mined;0,00
0,36;Worker[4];resource mined;0,00
0,36;Worker[1];block mined;0,05
0,36;Worker[1];resource mined;0,05
0,40;Lorry[2];is full;0,14
0,40;Lorry[2];arrived to ferry;0,01
0,43;Worker[4];block mined;0,02
0,45;Worker[1];block mined;0,05
0,45;Worker[1];resource mined;0,05
0,45;Worker[2];block mined;0,02
0,47;Worker[4];block mined;0,05
0,47;Worker[2];block mined;0,03
0,47;Worker[2];resource mined;0,04
0,50;Worker[3];block mined;0,04
0,50;Worker[4];block mined;0,03
0,50;Worker[4];resource mined;0,10
0,50;Lorry[3];is full;0,11
0,51;Lorry[3];arrived to ferry;0,00
0,51;Worker[5];block mined;0,01
0,51;Worker[5];resource mined;0,01
0,53;Worker[1];block mined;0,01
0,53;Worker[1];resource mined;0,01
0,53;Worker[3];block mined;0,03
0,53;Worker[3];resource mined;0,07
0,59;Worker[5];block mined;0,03
0,60;Worker[4];block mined;0,05
0,61;Worker[1];block mined;0,00
0,62;Lorry[4];is full;0,12
0,62;Lorry[4];arrived to ferry;0,00
0,63;Worker[5];block mined;0,04
0,62;Ferry;went out;0,53
0,63;Lorry[3];arrived to END;0,00
0,63;Lorry[2];arrived to END;0,00
0,64;Worker[2];block mined;0,05
0,64;Worker[2];resource mined;0,05
0,64;Lorry[1];arrived to END;0,01
0,64;Lorry[4];arrived to END;0,01
0,64;Worker[4];block mined;0,04
0,65;Worker[3];block mined;0,03
0,65;Worker[1];block mined;0,04
0,65;Worker[2];block mined;0,01
0,65;Worker[3];resource mined;0,03
0,65;Worker[1];resource mined;0,05
0,66;Worker[5];block mined;0,03
0,66;Worker[5];resource mined;0,10
0,67;Worker[4];block mined;0,03
0,68;Worker[4];resource mined;0,13
0,68;Worker[2];block mined;0,03
0,68;Worker[3];block mined;0,01
0,71;Worker[5];block mined;0,01
0,71;Worker[3];block mined;0,03
0,72;Worker[2];block mined;0,04
0,72;Worker[5];block mined;0,01
0,72;Worker[5];resource mined;0,02
0,73;Worker[2];block mined;0,01
0,74;Worker[2];block mined;0,01
0,75;Worker[1];block mined;0,02
0,75;Worker[1];resource mined;0,02
0,75;Lorry[5];is full;0,14
0,76;Worker[3];block mined;0,05
0,76;Worker[3];resource mined;0,09
0,76;Lorry[5];arrived to ferry;0,01
0,77;Worker[2];block mined;0,03
0,79;Worker[5];block mined;0,04
0,79;Worker[5];resource mined;0,04
0,81;Worker[2];block mined;0,04
0,81;Worker[4];block mined;0,03
0,81;Worker[4];resource mined;0,03
0,84;Worker[2];block mined;0,03
0,84;Worker[4];block mined;0,01
0,84;Worker[4];resource mined;0,01
0,84;Worker[3];block mined;0,03
0,84;Worker[3];resource mined;0,04
0,85;Worker[2];block mined;0,01
0,86;Worker[4];block mined;0,01
0,86;Worker[4];resource mined;0,01
0,86;Lorry[6];is full;0,11
0,87;Worker[1];block mined;0,05
0,87;Worker[1];resource mined;0,05
0,87;Lorry[6];arrived to ferry;0,00
0,87;Worker[2];block mined;0,02
0,87;Worker[5];block mined;0,03
0,88;Worker[3];block mined;0,02
0,88;Worker[3];resource mined;0,02
0,88;Worker[5];block mined;0,01
0,88;Worker[2];block mined;0,01
0,89;Worker[2];block mined;0,01
0,91;Worker[1];block mined;0,02
0,91;Worker[1];resource mined;0,02
0,91;Worker[4];block mined;0,04
0,91;Worker[4];resource mined;0,04
0,92;Worker[2];block mined;0,03
0,93;Worker[2];block mined;0,01
0,93;Worker[5];block mined;0,05
0,93;Worker[5];resource mined;0,09
0,94;Worker[3];block mined;0,05
0,94;Worker[3];resource mined;0,05
0,97;Worker[1];block mined;0,05
0,97;Worker[1];resource mined;0,05
0,97;Worker[4];block mined;0,04
0,97;Worker[4];resource mined;0,04
0,98;Worker[5];block mined;0,01
0,98;Worker[2];block mined;0,05
0,98;Worker[5];resource mined;0,01
0,98;Lorry[7];is full;0,12
0,99;Lorry[7];arrived to ferry;0,00
0,99;Worker[3];block mined;0,02
1,00;Worker[2];block mined;0,02
1,00;Worker[1];block mined;0,01
1,01;Worker[2];block mined;0,01
1,01;Worker[4];block mined;0,02
1,01;Worker[1];block mined;0,01
1,01;Worker[1];resource mined;0,02
1,01;Worker[5];block mined;0,01
1,03;Worker[3];block mined;0,03
1,03;Worker[4];block mined;0,02
1,04;Worker[4];block mined;0,01
1,05;Worker[5];block mined;0,04
1,05;Worker[4];block mined;0,01
1,05;Worker[2];block mined;0,05
1,06;Worker[1];block mined;0,02
1,06;Worker[3];block mined;0,03
1,06;Worker[3];resource mined;0,08
1,07;Worker[5];block mined;0,02
1,07;Worker[5];resource mined;0,06
1,07;Worker[4];block mined;0,02
1,08;Worker[4];block mined;0,00
1,08;Worker[4];resource mined;0,09
1,09;Worker[2];block mined;0,04
1,10;Worker[1];block mined;0,05
1,11;Worker[2];block mined;0,01
1,11;Worker[2];resource mined;0,46
1,12;Lorry[8];is full;0,14
1,12;Lorry[8];arrived to ferry;0,00
1,12;Ferry;went out;0,49
1,13;Lorry[8];arrived to END;0,00
1,13;Lorry[7];arrived to END;0,01
1,13;Lorry[6];arrived to END;0,01
1,13;Worker[3];block mined;0,04
1,13;Worker[3];resource mined;0,04
1,13;Lorry[5];arrived to END;0,01
1,13;Worker[1];block mined;0,03
1,13;Worker[1];resource mined;0,10
1,21;Worker[5];block mined;0,03
1,22;Worker[5];resource mined;0,03
1,24;Worker[4];block mined;0,01
1,24;Worker[4];resource mined;0,01
1,26;Worker[3];block mined;0,02
1,28;Lorry[9];is full;0,16
1,29;Worker[3];block mined;0,02
1,30;Worker[4];block mined;0,02
1,30;Lorry[9];arrived to ferry;0,01
1,31;Worker[3];block mined;0,03
1,31;Worker[3];resource mined;0,07
1,32;Worker[5];block mined;0,01
1,33;Worker[4];block mined;0,03
